# Gnuplot Deformed Mesh Archive
# X_deformed              Y_deformed
    0.00000000000000E+00    0.00000000000000E+00
    9.99997630144850E-02    1.72695480823670E-05
    1.00000110594743E-01    5.00181489263213E-02
    0.00000000000000E+00    5.00000000000000E-02
    0.00000000000000E+00    0.00000000000000E+00


    9.99997630144850E-02    1.72695480823670E-05
    1.99999427722511E-01    3.10601009033799E-05
    2.00000036037836E-01    5.00326432998669E-02
    1.00000110594743E-01    5.00181489263213E-02
    9.99997630144850E-02    1.72695480823670E-05


    1.99999427722511E-01    3.10601009033799E-05
    2.99998830989637E-01    3.85632219834869E-05
    3.00000005855987E-01    5.00405269811994E-02
    2.00000036037836E-01    5.00326432998669E-02
    1.99999427722511E-01    3.10601009033799E-05


    2.99998830989637E-01    3.85632219834869E-05
    3.99998136797207E-01    3.82159843242938E-05
    3.99999950344781E-01    5.00401642626041E-02
    3.00000005855987E-01    5.00405269811994E-02
    2.99998830989637E-01    3.85632219834869E-05


    3.99998136797207E-01    3.82159843242938E-05
    4.99997409526779E-01    3.00316217481236E-05
    4.99999906944495E-01    5.00315603568771E-02
    3.99999950344781E-01    5.00401642626041E-02
    3.99998136797207E-01    3.82159843242938E-05


    4.99997409526779E-01    3.00316217481236E-05
    5.99996737716665E-01    1.55628805960571E-05
    5.99999873807811E-01    5.00163575852672E-02
    4.99999906944495E-01    5.00315603568771E-02
    4.99997409526779E-01    3.00316217481236E-05


    5.99996737716665E-01    1.55628805960571E-05
    6.99996161518909E-01   -2.37346149620648E-06
    6.99999861765177E-01    4.99975039748214E-02
    5.99999873807811E-01    5.00163575852672E-02
    5.99996737716665E-01    1.55628805960571E-05


    6.99996161518909E-01   -2.37346149620648E-06
    7.99995684163367E-01   -2.03096868253276E-05
    7.99999868304085E-01    4.99786580368858E-02
    6.99999861765177E-01    4.99975039748214E-02
    6.99996161518909E-01   -2.37346149620648E-06


    7.99995684163367E-01   -2.03096868253276E-05
    8.99995243936319E-01   -3.47726269481272E-05
    8.99999899792407E-01    4.99634537978894E-02
    7.99999868304085E-01    4.99786580368858E-02
    7.99995684163367E-01   -2.03096868253276E-05


    8.99995243936319E-01   -3.47726269481272E-05
    9.99994761728844E-01   -4.30449218845943E-05
    9.99999927730929E-01    4.99547652715189E-02
    8.99999899792407E-01    4.99634537978894E-02
    8.99995243936319E-01   -3.47726269481272E-05


    0.00000000000000E+00    5.00000000000000E-02
    1.00000110594743E-01    5.00181489263213E-02
    1.00000003587136E-01    1.00019072875885E-01
    0.00000000000000E+00    1.00000000000000E-01
    0.00000000000000E+00    5.00000000000000E-02


    1.00000110594743E-01    5.00181489263213E-02
    2.00000036037836E-01    5.00326432998669E-02
    2.00000464200406E-01    1.00034306654939E-01
    1.00000003587136E-01    1.00019072875885E-01
    1.00000110594743E-01    5.00181489263213E-02


    2.00000036037836E-01    5.00326432998669E-02
    3.00000005855987E-01    5.00405269811994E-02
    3.00001089322079E-01    1.00042590151942E-01
    2.00000464200406E-01    1.00034306654939E-01
    2.00000036037836E-01    5.00326432998669E-02


    3.00000005855987E-01    5.00405269811994E-02
    3.99999950344781E-01    5.00401642626041E-02
    4.00001859305085E-01    1.00042211086386E-01
    3.00001089322079E-01    1.00042590151942E-01
    3.00000005855987E-01    5.00405269811994E-02


    3.99999950344781E-01    5.00401642626041E-02
    4.99999906944495E-01    5.00315603568771E-02
    5.00002640369263E-01    1.00033166291399E-01
    4.00001859305085E-01    1.00042211086386E-01
    3.99999950344781E-01    5.00401642626041E-02


    4.99999906944495E-01    5.00315603568771E-02
    5.99999873807811E-01    5.00163575852672E-02
    6.00003352581687E-01    1.00017192198017E-01
    5.00002640369263E-01    1.00033166291399E-01
    4.99999906944495E-01    5.00315603568771E-02


    5.99999873807811E-01    5.00163575852672E-02
    6.99999861765177E-01    4.99975039748214E-02
    7.00003937504156E-01    9.99973746831074E-02
    6.00003352581687E-01    1.00017192198017E-01
    5.99999873807811E-01    5.00163575852672E-02


    6.99999861765177E-01    4.99975039748214E-02
    7.99999868304085E-01    4.99786580368858E-02
    8.00004398066966E-01    9.99775728186638E-02
    7.00003937504156E-01    9.99973746831074E-02
    6.99999861765177E-01    4.99975039748214E-02


    7.99999868304085E-01    4.99786580368858E-02
    8.99999899792407E-01    4.99634537978894E-02
    9.00004781939640E-01    9.99615894819895E-02
    8.00004398066966E-01    9.99775728186638E-02
    7.99999868304085E-01    4.99786580368858E-02


    8.99999899792407E-01    4.99634537978894E-02
    9.99999927730929E-01    4.99547652715189E-02
    1.00000522171276E+00    9.99524634848969E-02
    9.00004781939640E-01    9.99615894819895E-02
    8.99999899792407E-01    4.99634537978894E-02


