# Gnuplot Deformed Mesh Archive
# X_deformed              Y_deformed
    5.54603885584400E+03    1.20510639431089E+03
    5.54620239507187E+03    1.20654728590071E+03
    5.54420346740290E+03    1.20855826692290E+03
    5.54420346740290E+03    1.20605826692290E+03
    5.54603885584400E+03    1.20510639431089E+03


    5.54603257071513E+03    1.20351923695073E+03
    5.54603885584400E+03    1.20510639431089E+03
    5.54420346740290E+03    1.20605826692290E+03
    5.54420346740290E+03    1.20355826692290E+03
    5.54603257071513E+03    1.20351923695073E+03


    5.54602641250802E+03    1.20193562846511E+03
    5.54603257071513E+03    1.20351923695073E+03
    5.54420346740290E+03    1.20355826692290E+03
    5.54420346740290E+03    1.20105826692290E+03
    5.54602641250802E+03    1.20193562846511E+03


    5.54614359775006E+03    1.20048665183733E+03
    5.54602641250802E+03    1.20193562846511E+03
    5.54420346740290E+03    1.20105826692290E+03
    5.54420346740290E+03    1.19855826692290E+03
    5.54614359775006E+03    1.20048665183733E+03


    5.54753469156741E+03    1.20062830488101E+03
    5.54614359775006E+03    1.20048665183733E+03
    5.54420346740290E+03    1.19855826692290E+03
    5.54663903215374E+03    1.19911823759418E+03
    5.54753469156741E+03    1.20062830488101E+03


    5.54914249501181E+03    1.20074877685931E+03
    5.54753469156741E+03    1.20062830488101E+03
    5.54663903215374E+03    1.19911823759418E+03
    5.54909148437021E+03    1.19962283728337E+03
    5.54914249501181E+03    1.20074877685931E+03


    5.55087127321093E+03    1.20111397655016E+03
    5.54914249501181E+03    1.20074877685931E+03
    5.54909148437021E+03    1.19962283728337E+03
    5.55160015654805E+03    1.20009068502988E+03
    5.55087127321093E+03    1.20111397655016E+03


    5.55232459916118E+03    1.20160850826822E+03
    5.55085217411944E+03    1.20109309271414E+03
    5.55160015654805E+03    1.20009068502988E+03
    5.55411784358984E+03    1.20062555284613E+03
    5.55232459916118E+03    1.20160850826822E+03


    5.55240699333578E+03    1.20238845589819E+03
    5.55232459916118E+03    1.20160850826822E+03
    5.55411784358984E+03    1.20062555284613E+03
    5.55416086810948E+03    1.20187755738952E+03
    5.55240699333578E+03    1.20238845589819E+03


    5.55244955730994E+03    1.20319601183462E+03
    5.55240699333578E+03    1.20238845589819E+03
    5.55416086810948E+03    1.20187755738952E+03
    5.55419916924644E+03    1.20312974067648E+03
    5.55244955730994E+03    1.20319601183462E+03


    5.55244584587402E+03    1.20400301187991E+03
    5.55244955730994E+03    1.20319601183462E+03
    5.55419916924644E+03    1.20312974067648E+03
    5.55423740951582E+03    1.20437634932367E+03
    5.55244584587402E+03    1.20400301187991E+03


    5.55241297253688E+03    1.20478115754390E+03
    5.55244584587402E+03    1.20400301187991E+03
    5.55423740951582E+03    1.20437634932367E+03
    5.55428274654918E+03    1.20562125089845E+03
    5.55241297253688E+03    1.20478115754390E+03


    5.55097360321879E+03    1.20541034930192E+03
    5.55241297253688E+03    1.20478115754390E+03
    5.55428274654918E+03    1.20562125089845E+03
    5.55180432192394E+03    1.20634733277880E+03
    5.55097360321879E+03    1.20541034930192E+03


    5.54926444268249E+03    1.20599951772763E+03
    5.55097360321879E+03    1.20541034930192E+03
    5.55180432192394E+03    1.20634733277880E+03
    5.54931460415406E+03    1.20712232091026E+03
    5.54926444268249E+03    1.20599951772763E+03


    5.54762755049627E+03    1.20630553993951E+03
    5.54926444268249E+03    1.20599951772763E+03
    5.54931460415406E+03    1.20712232091026E+03
    5.54676755539382E+03    1.20786832205975E+03
    5.54762755049627E+03    1.20630553993951E+03


    5.54620239507187E+03    1.20654728590071E+03
    5.54762755049627E+03    1.20630553993951E+03
    5.54676755539382E+03    1.20786832205975E+03
    5.54420346740290E+03    1.20855826692290E+03
    5.54620239507187E+03    1.20654728590071E+03


    5.54603885584400E+03    1.20510639431089E+03
    5.54603257071513E+03    1.20351923695073E+03
    5.54770558347653E+03    1.20347829983451E+03
    5.54770940713369E+03    1.20362253941260E+03
    5.54773909832091E+03    1.20380789724212E+03
    5.54779181393882E+03    1.20398711185527E+03
    5.54786218897421E+03    1.20414153432440E+03
    5.54603885584400E+03    1.20510639431089E+03


    5.54603257071513E+03    1.20351923695073E+03
    5.54602641250802E+03    1.20193562846511E+03
    5.54786459584710E+03    1.20280143684054E+03
    5.54782681462869E+03    1.20288226029407E+03
    5.54776331697439E+03    1.20306195301200E+03
    5.54772237014838E+03    1.20324710176919E+03
    5.54770500636707E+03    1.20343441061756E+03
    5.54770558347653E+03    1.20347829983451E+03
    5.54603257071513E+03    1.20351923695073E+03


    5.54602641250802E+03    1.20193562846511E+03
    5.54614359775006E+03    1.20048665183733E+03
    5.54814042326725E+03    1.20239345382924E+03
    5.54801881757042E+03    1.20254372597002E+03
    5.54791478160663E+03    1.20270358415261E+03
    5.54786459584710E+03    1.20280143684054E+03
    5.54602641250802E+03    1.20193562846511E+03


    5.54614359775006E+03    1.20048665183733E+03
    5.54753469156741E+03    1.20062830488101E+03
    5.54846041979066E+03    1.20212836121085E+03
    5.54843682512849E+03    1.20214456689839E+03
    5.54828590151772E+03    1.20225810486923E+03
    5.54814042326725E+03    1.20239345382924E+03
    5.54614359775006E+03    1.20048665183733E+03


    5.54919325534868E+03    1.20187709244465E+03
    5.54914913697890E+03    1.20188079673864E+03
    5.54896526942856E+03    1.20191036679220E+03
    5.54878526965269E+03    1.20196356937133E+03
    5.54861257070718E+03    1.20203920704286E+03
