# Gnuplot Deformed Mesh Archive
# X_deformed              Y_deformed
    5.64131499972338E+03    1.24652687856137E+03
    5.64138920283240E+03    1.24651869999934E+03
    5.64146340748997E+03    1.24650417192097E+03
    5.64148110332878E+03    1.24662932340903E+03
    5.64149878511653E+03    1.24675447431482E+03
    5.64141188144195E+03    1.24676897435782E+03
    5.64132497917134E+03    1.24677712485713E+03
    5.64131999641369E+03    1.24665200199276E+03
    5.64131499972338E+03    1.24652687856137E+03


    5.64121453274790E+03    1.24651819383198E+03
    5.64126476664535E+03    1.24652720918230E+03
    5.64131499972338E+03    1.24652687856137E+03
    5.64131999641369E+03    1.24665200199276E+03
    5.64132497917134E+03    1.24677712485713E+03
    5.64125605399753E+03    1.24677742757779E+03
    5.64118712805456E+03    1.24676838437208E+03
    5.64120083710117E+03    1.24664328934237E+03
    5.64121453274790E+03    1.24651819383198E+03


    5.64132497917134E+03    1.24677712485713E+03
    5.64141188144195E+03    1.24676897435782E+03
    5.64149878511653E+03    1.24675447431482E+03
    5.64151645936059E+03    1.24687948197132E+03
    5.64153413253724E+03    1.24700448956712E+03
    5.64143452997065E+03    1.24701898752847E+03
    5.64133492843677E+03    1.24702713595445E+03
    5.64132995431210E+03    1.24690213043233E+03
    5.64132497917134E+03    1.24677712485713E+03


    5.64118712805456E+03    1.24676838437208E+03
    5.64125605399753E+03    1.24677742757779E+03
    5.64132497917134E+03    1.24677712485713E+03
    5.64132995431210E+03    1.24690213043233E+03
    5.64133492843677E+03    1.24702713595445E+03
    5.64124731152675E+03    1.24702743661856E+03
    5.64115969406655E+03    1.24701839147735E+03
    5.64117341150773E+03    1.24689338794682E+03
    5.64118712805456E+03    1.24676838437208E+03


    5.64093199847860E+03    1.24649488120043E+03
    5.64107326658332E+03    1.24650552105505E+03
    5.64121453274790E+03    1.24651819383198E+03
    5.64120083710117E+03    1.24664328934237E+03
    5.64118712805456E+03    1.24676838437208E+03
    5.64104992752016E+03    1.24675568508837E+03
    5.64091272518805E+03    1.24674501901191E+03
    5.64092236793187E+03    1.24661995028673E+03
    5.64093199847860E+03    1.24649488120043E+03


    5.64051788156678E+03    1.24649614383088E+03
    5.64072494006060E+03    1.24649038424202E+03
    5.64093199847860E+03    1.24649488120043E+03
    5.64092236793187E+03    1.24661995028673E+03
    5.64091272518805E+03    1.24674501901191E+03
    5.64072617969898E+03    1.24674049883849E+03
    5.64053963412037E+03    1.24674623570334E+03
    5.64052876303255E+03    1.24662118991656E+03
    5.64051788156678E+03    1.24649614383088E+03


    5.64091272518805E+03    1.24674501901191E+03
    5.64104992752016E+03    1.24675568508837E+03
    5.64118712805456E+03    1.24676838437208E+03
    5.64117341150773E+03    1.24689338794682E+03
    5.64115969406655E+03    1.24701839147735E+03
    5.64102656037192E+03    1.24700569025352E+03
    5.64089342537519E+03    1.24699502256870E+03
    5.64090307565787E+03    1.24687002080768E+03
    5.64091272518805E+03    1.24674501901191E+03


    5.64053963412037E+03    1.24674623570334E+03
    5.64072617969898E+03    1.24674049883849E+03
    5.64091272518805E+03    1.24674501901191E+03
    5.64090307565787E+03    1.24687002080768E+03
    5.64089342537519E+03    1.24699502256870E+03
    5.64072739502304E+03    1.24699050073869E+03
    5.64056136460972E+03    1.24699623647450E+03
    5.64055049965055E+03    1.24687123610188E+03
    5.64053963412037E+03    1.24674623570334E+03


    5.64133492843677E+03    1.24702713595445E+03
    5.64143452997065E+03    1.24701898752847E+03
    5.64153413253724E+03    1.24700448956712E+03
    5.64155180555284E+03    1.24712947847962E+03
    5.64156947930178E+03    1.24725446738709E+03
    5.64145717795922E+03    1.24726896684907E+03
    5.64134487712641E+03    1.24727711678902E+03
    5.64133990240486E+03    1.24715212637279E+03
    5.64133492843677E+03    1.24702713595445E+03


    5.64115969406655E+03    1.24701839147735E+03
    5.64124731152675E+03    1.24702743661856E+03
    5.64133492843677E+03    1.24702713595445E+03
    5.64133990240486E+03    1.24715212637279E+03
    5.64134487712641E+03    1.24727711678902E+03
    5.64123856857522E+03    1.24727741895025E+03
    5.64113225975871E+03    1.24726837535318E+03
    5.64114597652160E+03    1.24714338341467E+03
    5.64115969406655E+03    1.24701839147735E+03


    5.64134487712641E+03    1.24727711678902E+03
    5.64145717795922E+03    1.24726896684907E+03
    5.64156947930178E+03    1.24725446738709E+03
    5.64158715368283E+03    1.24737946049773E+03
    5.64160482858577E+03    1.24750445365087E+03
    5.64147982852684E+03    1.24751895416824E+03
    5.64135482837746E+03    1.24752710516859E+03
    5.64134985248810E+03    1.24740211095659E+03
    5.64134487712641E+03    1.24727711678902E+03


    5.64113225975871E+03    1.24726837535318E+03
    5.64123856857522E+03    1.24727741895025E+03
    5.64134487712641E+03    1.24727711678902E+03
    5.64134985248810E+03    1.24740211095659E+03
    5.64135482837746E+03    1.24752710516859E+03
    5.64122982820518E+03    1.24752740838535E+03
    5.64110482808816E+03    1.24751836585516E+03
    5.64111854365854E+03    1.24739337058309E+03
    5.64113225975871E+03    1.24726837535318E+03


    5.64089342537519E+03    1.24699502256870E+03
    5.64102656037192E+03    1.24700569025352E+03
    5.64115969406655E+03    1.24701839147735E+03
    5.64114597652160E+03    1.24714338341467E+03
    5.64113225975871E+03    1.24726837535318E+03
    5.64100319294972E+03    1.24725567562431E+03
    5.64087412550148E+03    1.24724500948877E+03
    5.64088377505293E+03    1.24712001602640E+03
    5.64089342537519E+03    1.24699502256870E+03


    5.64056136460972E+03    1.24699623647450E+03
    5.64072739502304E+03    1.24699050073869E+03
    5.64089342537519E+03    1.24699502256870E+03
    5.64088377505293E+03    1.24712001602640E+03
    5.64087412550148E+03    1.24724500948877E+03
    5.64072861045417E+03    1.24724048911621E+03
    5.64058309537071E+03    1.24724622638291E+03
    5.64057222962206E+03    1.24712123142451E+03
    5.64056136460972E+03    1.24699623647450E+03


    5.64087412550148E+03    1.24724500948877E+03
    5.64100319294972E+03    1.24725567562431E+03
    5.64113225975871E+03    1.24726837535318E+03
    5.64111854365854E+03    1.24739337058309E+03
    5.64110482808816E+03    1.24751836585516E+03
    5.64097982807985E+03    1.24750566716423E+03
    5.64085482818351E+03    1.24749500206501E+03
