# Time(s)         Deslocamento u_{10}(t)
   0.000000E+00     4.042987E-02
   5.514930E+00     3.667212E-02
   1.102986E+01     2.609738E-02
   1.654479E+01     1.067140E-02
   2.205972E+01    -6.738290E-03
   2.757465E+01    -2.289540E-02
   3.308958E+01    -3.479648E-02
   3.860451E+01    -4.022924E-02
   4.411944E+01    -3.818378E-02
   4.963437E+01    -2.904034E-02
   5.514930E+01    -1.449859E-02
   6.066423E+01     2.738305E-03
   6.617916E+01     1.946618E-02
   7.169408E+01     3.257548E-02
   7.720901E+01     3.962932E-02
   8.272394E+01     3.931647E-02
   8.823887E+01     3.169508E-02
   9.375380E+01     1.818188E-02
   9.926873E+01     1.288858E-03
   1.047837E+02    -1.584375E-02
   1.102986E+02    -3.003117E-02
   1.158135E+02    -3.863609E-02
   1.213285E+02    -4.005894E-02
   1.268434E+02    -3.403524E-02
   1.323583E+02    -2.168472E-02
   1.378732E+02    -5.303230E-03
   1.433882E+02     1.206408E-02
   1.489031E+02     2.718880E-02
   1.544180E+02     3.725938E-02
   1.599330E+02     4.040382E-02
   1.654479E+02     3.603760E-02
   1.709628E+02     2.497233E-02
   1.764777E+02     9.264966E-03
   1.819927E+02    -8.164668E-03
   1.875076E+02    -2.407657E-02
   1.930225E+02    -3.551288E-02
   1.985375E+02    -4.034770E-02
   2.040524E+02    -3.768228E-02
   2.095673E+02    -2.801210E-02
   2.150823E+02    -1.313475E-02
   2.205972E+02     4.184223E-03
   2.261121E+02     2.072539E-02
   2.316270E+02     3.341391E-02
   2.371420E+02     3.989111E-02
   2.426569E+02     3.895296E-02
   2.481718E+02     3.077384E-02
   2.536868E+02     1.687416E-02
   2.592017E+02    -1.622487E-04
   2.647166E+02    -1.716850E-02
   2.702316E+02    -3.098330E-02
   2.757465E+02    -3.903861E-02
   2.812614E+02    -3.983703E-02
   2.867763E+02    -3.323014E-02
   2.922913E+02    -2.044610E-02
   2.978062E+02    -3.861336E-03
   3.033211E+02     1.344122E-02
   3.088361E+02     2.824518E-02
   3.143510E+02     3.779865E-02
   3.198659E+02     4.032572E-02
   3.253808E+02     3.535664E-02
   3.308958E+02     2.381512E-02
   3.364107E+02     7.846596E-03
   3.419256E+02    -9.580527E-03
   3.474406E+02    -2.522673E-02
   3.529555E+02    -3.618353E-02
   3.584704E+02    -4.041417E-02
   3.639854E+02    -3.713222E-02
   3.695003E+02    -2.694776E-02
   3.750152E+02    -1.175398E-02
   3.805301E+02     5.624750E-03
   3.860451E+02     2.195789E-02
   3.915600E+02     3.420928E-02
   3.970749E+02     4.010151E-02
   4.025899E+02     3.853926E-02
   4.081048E+02     2.981295E-02
   4.136197E+02     1.554470E-02
   4.191347E+02    -1.613147E-03
   4.246496E+02    -1.847113E-02
   4.301645E+02    -3.189551E-02
   4.356794E+02    -3.939083E-02
   4.411944E+02    -3.956379E-02
   4.467093E+02    -3.238224E-02
   4.522242E+02    -1.918114E-02
   4.577392E+02    -2.414467E-03
   4.632541E+02     1.480103E-02
   4.687690E+02     2.926517E-02
   4.742839E+02     3.828920E-02
   4.797989E+02     4.019565E-02
   4.853138E+02     3.463013E-02
   4.908287E+02     2.262721E-02
   4.963437E+02     6.418117E-03
   5.018586E+02    -1.098404E-02
   5.073735E+02    -2.634437E-02
   5.128885E+02    -3.680755E-02
   5.184034E+02    -4.042857E-02
   5.239183E+02    -3.653432E-02
   5.294332E+02    -2.584870E-02
   5.349482E+02    -1.035807E-02
   5.404631E+02     7.058029E-03
   5.459780E+02     2.316211E-02
   5.514930E+02     3.496058E-02
   5.570079E+02     4.026023E-02
   5.625228E+02     3.807590E-02
   5.680377E+02     2.881364E-02
   5.735527E+02     1.419521E-02
   5.790676E+02    -3.061966E-03
   5.845825E+02    -1.974995E-02
   5.900975E+02    -3.276662E-02
   5.956124E+02    -3.969230E-02
   6.011273E+02    -3.923958E-02
   6.066423E+02    -3.149260E-02
   6.121572E+02    -1.789147E-02
   6.176721E+02    -9.644870E-04
   6.231870E+02     1.614178E-02
   6.287020E+02     3.024746E-02
   6.342169E+02     3.873043E-02
   6.397318E+02     4.001380E-02
   6.452468E+02     3.385900E-02
   6.507617E+02     2.141015E-02
   6.562766E+02     4.981368E-03
   6.617916E+02    -1.237340E-02
   6.673065E+02    -2.742808E-02
   6.728214E+02    -3.738415E-02
   6.783363E+02    -4.039088E-02
   6.838513E+02    -3.588934E-02
   6.893662E+02    -2.471634E-02
   6.948811E+02    -8.948808E-03
   7.003961E+02     8.482215E-03
   7.059110E+02     2.433648E-02
   7.114259E+02     3.566683E-02
   7.169408E+02     4.036708E-02
   7.224558E+02     3.756348E-02
