# Time(s)         q_n(t)
   0.000000E+00     1.000000E+00
   1.427880E-03     9.920354E-01
   2.855759E-03     9.682683E-01
   4.283639E-03     9.290774E-01
   5.711518E-03     8.750870E-01
   7.139398E-03     8.071571E-01
   8.567277E-03     7.263698E-01
   9.995157E-03     6.340118E-01
   1.142304E-02     5.315546E-01
   1.285092E-02     4.206301E-01
   1.427880E-02     3.030052E-01
   1.570668E-02     1.805537E-01
   1.713455E-02     5.522603E-02
   1.856243E-02    -7.098130E-02
   1.999031E-02    -1.960579E-01
   2.141819E-02    -3.180115E-01
   2.284607E-02    -4.348994E-01
   2.427395E-02    -5.448597E-01
   2.570183E-02    -6.461407E-01
   2.712971E-02    -7.371292E-01
   2.855759E-02    -8.163757E-01
   2.998547E-02    -8.826180E-01
   3.141335E-02    -9.348008E-01
   3.284123E-02    -9.720928E-01
   3.426911E-02    -9.939002E-01
   3.569699E-02    -9.998754E-01
   3.712487E-02    -9.899233E-01
   3.855275E-02    -9.642025E-01
   3.998063E-02    -9.231226E-01
   4.140851E-02    -8.673380E-01
   4.283639E-02    -7.977373E-01
   4.426427E-02    -7.154293E-01
   4.569215E-02    -6.217250E-01
   4.712003E-02    -5.181170E-01
   4.854791E-02    -4.062559E-01
   4.997579E-02    -2.879233E-01
   5.140366E-02    -1.650044E-01
   5.283154E-02    -3.945700E-02
   5.425942E-02     8.671888E-02
   5.568730E-02     2.115134E-01
   5.711518E-02     3.329386E-01
   5.854306E-02     4.490604E-01
   5.997094E-02     5.580290E-01
   6.139882E-02     6.581085E-01
   6.282670E-02     7.477049E-01
   6.425458E-02     8.253909E-01
   6.568246E-02     8.899290E-01
   6.711034E-02     9.402911E-01
   6.853822E-02     9.756751E-01
   6.996610E-02     9.955173E-01
   7.139398E-02     9.995016E-01
   7.282186E-02     9.875646E-01
   7.424974E-02     9.598963E-01
   7.567762E-02     9.169376E-01
   7.710550E-02     8.593728E-01
   7.853338E-02     7.881187E-01
   7.996126E-02     7.043105E-01
   8.138914E-02     6.092832E-01
   8.281702E-02     5.045503E-01
   8.424489E-02     3.917804E-01
   8.567277E-02     2.727697E-01
   8.710065E-02     1.494139E-01
   8.852853E-02     2.367813E-02
   8.995641E-02    -1.024348E-01
   9.138429E-02    -2.269161E-01
   9.281217E-02    -3.477828E-01
   9.424005E-02    -4.631095E-01
   9.566793E-02    -5.710592E-01
   9.709581E-02    -6.699124E-01
   9.852369E-02    -7.580943E-01
   9.995157E-02    -8.342003E-01
   1.013794E-01    -8.970182E-01
   1.028073E-01    -9.455471E-01
   1.042352E-01    -9.790142E-01
   1.056631E-01    -9.968863E-01
   1.070910E-01    -9.988787E-01
   1.085188E-01    -9.849597E-01
   1.099467E-01    -9.553510E-01
   1.113746E-01    -9.105242E-01
   1.128025E-01    -8.511934E-01
   1.142304E-01    -7.783037E-01
   1.156582E-01    -6.930162E-01
   1.170861E-01    -5.966895E-01
   1.185140E-01    -4.908579E-01
   1.199419E-01    -3.772073E-01
   1.213698E-01    -2.575481E-01
   1.227976E-01    -1.337863E-01
   1.242255E-01    -7.893367E-03
   1.256534E-01     1.181253E-01
   1.270813E-01     2.422623E-01
   1.285092E-01     3.625402E-01
   1.299370E-01     4.770431E-01
   1.313649E-01     5.839471E-01
   1.327928E-01     6.815492E-01
   1.342207E-01     7.682948E-01
   1.356486E-01     8.428019E-01
   1.370764E-01     9.038838E-01
   1.385043E-01     9.505675E-01
   1.399322E-01     9.821093E-01
   1.413601E-01     9.980069E-01
   1.427880E-01     9.980069E-01
   1.442158E-01     9.821093E-01
   1.456437E-01     9.505675E-01
   1.470716E-01     9.038838E-01
   1.484995E-01     8.428019E-01
   1.499274E-01     7.682948E-01
   1.513552E-01     6.815492E-01
   1.527831E-01     5.839471E-01
   1.542110E-01     4.770431E-01
   1.556389E-01     3.625402E-01
   1.570668E-01     2.422623E-01
   1.584946E-01     1.181253E-01
   1.599225E-01    -7.893367E-03
   1.613504E-01    -1.337863E-01
   1.627783E-01    -2.575481E-01
   1.642062E-01    -3.772073E-01
   1.656340E-01    -4.908579E-01
   1.670619E-01    -5.966895E-01
   1.684898E-01    -6.930162E-01
   1.699177E-01    -7.783037E-01
   1.713455E-01    -8.511934E-01
   1.727734E-01    -9.105242E-01
   1.742013E-01    -9.553510E-01
   1.756292E-01    -9.849597E-01
   1.770571E-01    -9.988787E-01
   1.784849E-01    -9.968863E-01
   1.799128E-01    -9.790142E-01
   1.813407E-01    -9.455471E-01
   1.827686E-01    -8.970182E-01
   1.841965E-01    -8.342003E-01
   1.856243E-01    -7.580943E-01
   1.870522E-01    -6.699124E-01
   1.884801E-01    -5.710592E-01
   1.899080E-01    -4.631095E-01
   1.913359E-01    -3.477828E-01
   1.927637E-01    -2.269161E-01
   1.941916E-01    -1.024348E-01
   1.956195E-01     2.367813E-02
   1.970474E-01     1.494139E-01
   1.984753E-01     2.727697E-01
   1.999031E-01     3.917804E-01
   2.013310E-01     5.045503E-01
   2.027589E-01     6.092832E-01
   2.041868E-01     7.043105E-01
   2.056147E-01     7.881187E-01
   2.070425E-01     8.593728E-01
   2.084704E-01     9.169376E-01
   2.098983E-01     9.598963E-01
   2.113262E-01     9.875646E-01
   2.127541E-01     9.995016E-01
   2.141819E-01     9.955173E-01
   2.156098E-01     9.756751E-01
   2.170377E-01     9.402911E-01
   2.184656E-01     8.899290E-01
   2.198935E-01     8.253909E-01
   2.213213E-01     7.477049E-01
   2.227492E-01     6.581085E-01
   2.241771E-01     5.580290E-01
   2.256050E-01     4.490604E-01
   2.270329E-01     3.329386E-01
   2.284607E-01     2.115134E-01
   2.298886E-01     8.671888E-02
   2.313165E-01    -3.945700E-02
   2.327444E-01    -1.650044E-01
   2.341723E-01    -2.879233E-01
   2.356001E-01    -4.062559E-01
   2.370280E-01    -5.181170E-01
   2.384559E-01    -6.217250E-01
   2.398838E-01    -7.154293E-01
   2.413116E-01    -7.977373E-01
   2.427395E-01    -8.673380E-01
   2.441674E-01    -9.231226E-01
   2.455953E-01    -9.642025E-01
   2.470232E-01    -9.899233E-01
   2.484510E-01    -9.998754E-01
   2.498789E-01    -9.939002E-01
   2.513068E-01    -9.720928E-01
   2.527347E-01    -9.348008E-01
   2.541626E-01    -8.826180E-01
   2.555904E-01    -8.163757E-01
   2.570183E-01    -7.371292E-01
   2.584462E-01    -6.461407E-01
   2.598741E-01    -5.448597E-01
   2.613020E-01    -4.348994E-01
   2.627298E-01    -3.180115E-01
   2.641577E-01    -1.960579E-01
   2.655856E-01    -7.098130E-02
   2.670135E-01     5.522603E-02
   2.684414E-01     1.805537E-01
   2.698692E-01     3.030052E-01
   2.712971E-01     4.206301E-01
   2.727250E-01     5.315546E-01
   2.741529E-01     6.340118E-01
   2.755808E-01     7.263698E-01
   2.770086E-01     8.071571E-01
