# Gnuplot Deformed Mesh Archive
# X_deformed              Y_deformed
    5.65039349619531E+03    1.21090367180461E+03
    5.65008102072386E+03    1.21092935191505E+03
    5.64976854524096E+03    1.21095500135837E+03
    5.64975829140096E+03    1.21082995766920E+03
    5.64974803716628E+03    1.21070491392188E+03
    5.65006048811589E+03    1.21067926251255E+03
    5.65037293905387E+03    1.21065358043609E+03
    5.65038321782129E+03    1.21077862614939E+03
    5.65039349619531E+03    1.21090367180461E+03


    5.64976854524096E+03    1.21095500135837E+03
    5.64945609012962E+03    1.21098060739650E+03
    5.64914363501973E+03    1.21100615729731E+03
    5.64913342609034E+03    1.21088111558557E+03
    5.64912321676039E+03    1.21075607381542E+03
    5.64943562696294E+03    1.21073052193677E+03
    5.64974803716628E+03    1.21070491392188E+03
    5.64975829140096E+03    1.21082995766920E+03
    5.64976854524096E+03    1.21095500135837E+03


    5.65041405202299E+03    1.21115369964364E+03
    5.65010155201754E+03    1.21117937843477E+03
    5.64978905200042E+03    1.21120502655860E+03
    5.64977879875259E+03    1.21108001396422E+03
    5.64976854524096E+03    1.21095500135837E+03
    5.65008102072386E+03    1.21092935191505E+03
    5.65039349619531E+03    1.21090367180461E+03
    5.65040377424109E+03    1.21102868572990E+03
    5.65041405202299E+03    1.21115369964364E+03


    5.64978905200042E+03    1.21120502655860E+03
    5.64947655197732E+03    1.21123063127821E+03
    5.64916405195495E+03    1.21125617985925E+03
    5.64915384361891E+03    1.21113116858386E+03
    5.64914363501973E+03    1.21100615729731E+03
    5.64945609012962E+03    1.21098060739650E+03
    5.64976854524096E+03    1.21095500135837E+03
    5.64977879875259E+03    1.21108001396422E+03
    5.64978905200042E+03    1.21120502655860E+03


    5.65043460785056E+03    1.21140367181230E+03
    5.65012208331110E+03    1.21142935192245E+03
    5.64980955875976E+03    1.21145500136548E+03
    5.64979930524821E+03    1.21133001396778E+03
    5.64978905200042E+03    1.21120502655860E+03
    5.65010155201754E+03    1.21117937843477E+03
    5.65041405202299E+03    1.21115369964364E+03
    5.65042432980487E+03    1.21127868573375E+03
    5.65043460785056E+03    1.21140367181230E+03


    5.64980955875976E+03    1.21145500136548E+03
    5.64949701382492E+03    1.21148060740332E+03
    5.64918446889005E+03    1.21150615730385E+03
    5.64917426029095E+03    1.21138116858713E+03
    5.64916405195495E+03    1.21125617985925E+03
    5.64947655197732E+03    1.21123063127821E+03
    5.64978905200042E+03    1.21120502655860E+03
    5.64979930524821E+03    1.21133001396778E+03
    5.64980955875976E+03    1.21145500136548E+03


    5.65045516499169E+03    1.21165358045296E+03
    5.65014261591876E+03    1.21167926252895E+03
    5.64983006683414E+03    1.21170491393780E+03
    5.64981981259963E+03    1.21157995768072E+03
    5.64980955875976E+03    1.21145500136548E+03
    5.65012208331110E+03    1.21142935192245E+03
    5.65043460785056E+03    1.21140367181230E+03
    5.65044488622445E+03    1.21152862616167E+03
    5.65045516499169E+03    1.21165358045296E+03


    5.64983006683414E+03    1.21170491393780E+03
    5.64951747699129E+03    1.21173052195220E+03
    5.64920488714908E+03    1.21175607383038E+03
    5.64919467781930E+03    1.21163111559631E+03
    5.64918446889005E+03    1.21150615730385E+03
    5.64949701382492E+03    1.21148060740332E+03
    5.64980955875976E+03    1.21145500136548E+03
    5.64981981259963E+03    1.21157995768072E+03
    5.64983006683414E+03    1.21170491393780E+03


    5.64914363501973E+03    1.21100615729731E+03
    5.64883121951316E+03    1.21103162630370E+03
    5.64851880402228E+03    1.21105698968394E+03
    5.64850867959518E+03    1.21093194999435E+03
    5.64849855475321E+03    1.21080691024601E+03
    5.64881088574945E+03    1.21078154484219E+03
    5.64912321676039E+03    1.21075607381542E+03
    5.64913342609034E+03    1.21088111558557E+03
    5.64914363501973E+03    1.21100615729731E+03


    5.64851880402228E+03    1.21105698968394E+03
    5.64820644542948E+03    1.21108221186059E+03
    5.64789408685017E+03    1.21110725731177E+03
    5.64788410380574E+03    1.21098221974030E+03
    5.64787412032082E+03    1.21085718210975E+03
    5.64818633753085E+03    1.21083213453763E+03
    5.64849855475321E+03    1.21080691024601E+03
    5.64850867959518E+03    1.21093194999435E+03
    5.64851880402228E+03    1.21105698968394E+03


    5.64916405195495E+03    1.21125617985925E+03
    5.64885155194216E+03    1.21128164755397E+03
    5.64853905194395E+03    1.21130700961923E+03
    5.64852892811363E+03    1.21118199965691E+03
    5.64851880402228E+03    1.21105698968394E+03
    5.64883121951316E+03    1.21103162630370E+03
    5.64914363501973E+03    1.21100615729731E+03
    5.64915384361891E+03    1.21113116858386E+03
    5.64916405195495E+03    1.21125617985925E+03


    5.64853905194395E+03    1.21130700961923E+03
    5.64822655196084E+03    1.21133223050048E+03
    5.64791405198988E+03    1.21135727465020E+03
    5.64790406954840E+03    1.21123226598597E+03
    5.64789408685017E+03    1.21110725731177E+03
    5.64820644542948E+03    1.21108221186059E+03
    5.64851880402228E+03    1.21105698968394E+03
    5.64852892811363E+03    1.21118199965691E+03
    5.64853905194395E+03    1.21130700961923E+03


    5.64918446889005E+03    1.21150615730385E+03
    5.64887188437104E+03    1.21153162630995E+03
    5.64855929986551E+03    1.21155698968990E+03
    5.64854917577425E+03    1.21143199965989E+03
    5.64853905194395E+03    1.21130700961923E+03
    5.64885155194216E+03    1.21128164755397E+03
    5.64916405195495E+03    1.21125617985925E+03
    5.64917426029095E+03    1.21138116858713E+03
    5.64918446889005E+03    1.21150615730385E+03


    5.64855929986551E+03    1.21155698968990E+03
    5.64824665849208E+03    1.21158221186627E+03
    5.64793401712947E+03    1.21160725731715E+03
    5.64792403443133E+03    1.21148226598866E+03
    5.64791405198988E+03    1.21135727465020E+03
    5.64822655196084E+03    1.21133223050048E+03
    5.64853905194395E+03    1.21130700961923E+03
    5.64854917577425E+03    1.21143199965989E+03
    5.64855929986551E+03    1.21155698968990E+03


    5.64920488714908E+03    1.21175607383038E+03
    5.64889221813445E+03    1.21178154485666E+03
    5.64857954913427E+03    1.21180691026000E+03
    5.64856942429248E+03    1.21168195000432E+03
    5.64855929986551E+03    1.21155698968990E+03
    5.64887188437104E+03    1.21153162630995E+03
    5.64918446889005E+03    1.21150615730385E+03
    5.64919467781930E+03    1.21163111559631E+03
    5.64920488714908E+03    1.21175607383038E+03


    5.64857954913427E+03    1.21180691026000E+03
    5.64826676639039E+03    1.21183213455111E+03
    5.64795398365850E+03    1.21185718212272E+03
    5.64794400017376E+03    1.21173221974947E+03
    5.64793401712947E+03    1.21160725731715E+03
    5.64824665849208E+03    1.21158221186627E+03
    5.64855929986551E+03    1.21155698968990E+03
    5.64856942429248E+03    1.21168195000432E+03
    5.64857954913427E+03    1.21180691026000E+03


    5.64789408685017E+03    1.21110725731177E+03
    5.64758180053471E+03    1.21113208083369E+03
    5.64726951422850E+03    1.21115663731596E+03
