# Gnuplot Deformed Mesh Archive
# X_deformed              Y_deformed
    5.65091604119735E+03    1.21150171271977E+03
    5.65057095169015E+03    1.21150137180459E+03
    5.65017143853556E+03    1.21150103092057E+03
    5.65017163292709E+03    1.21138096672536E+03
    5.65017194338020E+03    1.21126090381415E+03
    5.65057145654746E+03    1.21126182504800E+03
    5.65091654607027E+03    1.21126274629642E+03
    5.65091623560028E+03    1.21138222886742E+03
    5.65091604119735E+03    1.21150171271977E+03


    5.65017143853556E+03    1.21150103092057E+03
    5.64972748007034E+03    1.21150069050437E+03
    5.64925450422691E+03    1.21150035048133E+03
    5.64925469822899E+03    1.21137970578138E+03
    5.64925500793873E+03    1.21125906231318E+03
    5.64972798441919E+03    1.21125998282655E+03
    5.65017194338020E+03    1.21126090381415E+03
    5.65017163292709E+03    1.21138096672536E+03
    5.65017143853556E+03    1.21150103092057E+03


    5.65091590471620E+03    1.21174429749572E+03
    5.65057081525779E+03    1.21174429728179E+03
    5.65017130216860E+03    1.21174429710998E+03
    5.65017133631605E+03    1.21162266394044E+03
    5.65017143853556E+03    1.21150103092057E+03
    5.65057095169015E+03    1.21150137180459E+03
    5.65091604119735E+03    1.21150171271977E+03
    5.65091593889036E+03    1.21162300502980E+03
    5.65091590471620E+03    1.21174429749572E+03


    5.65017130216860E+03    1.21174429710998E+03
    5.64972734396796E+03    1.21174429701379E+03
    5.64925436839721E+03    1.21174429702673E+03
    5.64925440241773E+03    1.21162232368021E+03
    5.64925450422691E+03    1.21150035048133E+03
    5.64972748007034E+03    1.21150069050437E+03
    5.65017143853556E+03    1.21150103092057E+03
    5.65017133631605E+03    1.21162266394044E+03
    5.65017130216860E+03    1.21174429710998E+03


    5.65091604082134E+03    1.21198688227442E+03
    5.65057095138151E+03    1.21198722276163E+03
    5.65017143829430E+03    1.21198756330191E+03
    5.65017133619543E+03    1.21186593028077E+03
    5.65017130216860E+03    1.21174429710998E+03
    5.65057081525779E+03    1.21174429728179E+03
    5.65091590471620E+03    1.21174429749572E+03
    5.65091593870236E+03    1.21186558996301E+03
    5.65091604082134E+03    1.21198688227442E+03


    5.65017143829430E+03    1.21198756330191E+03
    5.64972748000370E+03    1.21198790352562E+03
    5.64925450433490E+03    1.21198824357445E+03
    5.64925440247173E+03    1.21186627037441E+03
    5.64925436839721E+03    1.21174429702673E+03
    5.64972734396796E+03    1.21174429701379E+03
    5.65017130216860E+03    1.21174429710998E+03
    5.65017133619543E+03    1.21186593028077E+03
    5.65017143829430E+03    1.21198756330191E+03


    5.65091654531791E+03    1.21222584871089E+03
    5.65057145592986E+03    1.21222676953066E+03
    5.65017194289735E+03    1.21222769042006E+03
    5.65017163256511E+03    1.21210762750298E+03
    5.65017143829430E+03    1.21198756330191E+03
    5.65057095138151E+03    1.21198722276163E+03
    5.65091604082134E+03    1.21198688227442E+03
    5.65091623503616E+03    1.21210636613333E+03
    5.65091654531791E+03    1.21222584871089E+03


    5.65017194289735E+03    1.21222769042006E+03
    5.64972798428559E+03    1.21222861121447E+03
    5.64925500815438E+03    1.21222953175293E+03
    5.64925469839088E+03    1.21210888827956E+03
    5.64925450433490E+03    1.21198824357445E+03
    5.64972748000370E+03    1.21198790352562E+03
    5.65017143829430E+03    1.21198756330191E+03
    5.65017163256511E+03    1.21210762750298E+03
    5.65017194289735E+03    1.21222769042006E+03


    5.64925450422691E+03    1.21150035048133E+03
    5.64877114028349E+03    1.21150001175288E+03
    5.64829728995760E+03    1.21149967462504E+03
    5.64829748211933E+03    1.21137845248179E+03
    5.64829778830990E+03    1.21125723141316E+03
    5.64877164152037E+03    1.21125814570110E+03
    5.64925500793873E+03    1.21125906231318E+03
    5.64925469822899E+03    1.21137970578138E+03
    5.64925450422691E+03    1.21150035048133E+03


    5.64829728995760E+03    1.21149967462504E+03
    5.64785180631560E+03    1.21149933986286E+03
    5.64745006157027E+03    1.21149900900074E+03
    5.64745024908934E+03    1.21137722234390E+03
    5.64745054641738E+03    1.21125543651120E+03
    5.64785229823956E+03    1.21125633099651E+03
    5.64829778830990E+03    1.21125723141316E+03
    5.64829748211933E+03    1.21137845248179E+03
    5.64829728995760E+03    1.21149967462504E+03


    5.64925436839721E+03    1.21174429702673E+03
    5.64877100514818E+03    1.21174429712085E+03
    5.64829715547375E+03    1.21174429726815E+03
    5.64829718919378E+03    1.21162198586322E+03
    5.64829728995760E+03    1.21149967462504E+03
    5.64877114028349E+03    1.21150001175288E+03
    5.64925450422691E+03    1.21150035048133E+03
    5.64925440241773E+03    1.21162232368021E+03
    5.64925436839721E+03    1.21174429702673E+03


    5.64829715547375E+03    1.21174429726815E+03
    5.64785167320752E+03    1.21174429740759E+03
    5.64744992974953E+03    1.21174429747813E+03
    5.64744996286875E+03    1.21162165313709E+03
    5.64745006157027E+03    1.21149900900074E+03
    5.64785180631560E+03    1.21149933986286E+03
    5.64829728995760E+03    1.21149967462504E+03
    5.64829718919378E+03    1.21162198586322E+03
    5.64829715547375E+03    1.21174429726815E+03


    5.64925450433490E+03    1.21198824357445E+03
    5.64877114047657E+03    1.21198858249102E+03
    5.64829729023578E+03    1.21198891991335E+03
    5.64829718933288E+03    1.21186660867412E+03
    5.64829715547375E+03    1.21174429726815E+03
    5.64877100514818E+03    1.21174429712085E+03
    5.64925436839721E+03    1.21174429702673E+03
    5.64925440247173E+03    1.21186627037441E+03
    5.64925450433490E+03    1.21198824357445E+03


    5.64829729023578E+03    1.21198891991335E+03
