# Time(s)         Deslocamento u_{10}(t)
   0.000000E+00     4.924896E+00
   7.291459E-04     3.498022E+00
   1.458292E-03     4.420666E-02
   2.187438E-03    -3.435224E+00
   2.916584E-03    -4.924103E+00
   3.645729E-03    -3.559692E+00
   4.374875E-03    -1.326057E-01
   5.104021E-03     3.371320E+00
   5.833167E-03     4.921722E+00
   6.562313E-03     3.620215E+00
   7.291459E-03     2.209621E-01
   8.020605E-03    -3.306328E+00
   8.749751E-03    -4.917755E+00
   9.478896E-03    -3.679572E+00
   1.020804E-02    -3.092472E-01
   1.093719E-02     3.240272E+00
   1.166633E-02     4.912204E+00
   1.239548E-02     3.737742E+00
   1.312463E-02     3.974326E-01
   1.385377E-02    -3.173170E+00
   1.458292E-02    -4.905069E+00
   1.531206E-02    -3.794708E+00
   1.604121E-02    -4.854900E-01
   1.677036E-02     3.105047E+00
   1.749950E-02     4.896353E+00
   1.822865E-02     3.850451E+00
   1.895779E-02     5.733909E-01
   1.968694E-02    -3.035922E+00
   2.041608E-02    -4.886059E+00
   2.114523E-02    -3.904952E+00
   2.187438E-02    -6.611070E-01
   2.260352E-02     2.965819E+00
   2.333267E-02     4.874191E+00
   2.406181E-02     3.958196E+00
   2.479096E-02     7.486100E-01
   2.552011E-02    -2.894760E+00
   2.624925E-02    -4.860752E+00
   2.697840E-02    -4.010163E+00
   2.770754E-02    -8.358718E-01
   2.843669E-02     2.822769E+00
   2.916584E-02     4.845746E+00
   2.989498E-02     4.060839E+00
   3.062413E-02     9.228642E-01
   3.135327E-02    -2.749867E+00
   3.208242E-02    -4.829178E+00
   3.281156E-02    -4.110205E+00
   3.354071E-02    -1.009559E+00
   3.426986E-02     2.676079E+00
   3.499900E-02     4.811054E+00
   3.572815E-02     4.158247E+00
   3.645729E-02     1.095929E+00
   3.718644E-02    -2.601429E+00
   3.791559E-02    -4.791380E+00
   3.864473E-02    -4.204949E+00
   3.937388E-02    -1.181945E+00
   4.010302E-02     2.525941E+00
   4.083217E-02     4.770161E+00
   4.156132E-02     4.250295E+00
   4.229046E-02     1.267581E+00
   4.301961E-02    -2.449638E+00
   4.374875E-02    -4.747405E+00
   4.447790E-02    -4.294272E+00
   4.520704E-02    -1.352807E+00
   4.593619E-02     2.372546E+00
   4.666534E-02     4.723119E+00
   4.739448E-02     4.336865E+00
   4.812363E-02     1.437598E+00
   4.885277E-02    -2.294689E+00
   4.958192E-02    -4.697311E+00
   5.031107E-02    -4.378060E+00
   5.104021E-02    -1.521926E+00
   5.176936E-02     2.216093E+00
   5.249850E-02     4.669989E+00
   5.322765E-02     4.417844E+00
   5.395680E-02     1.605763E+00
   5.468594E-02    -2.136782E+00
   5.541509E-02    -4.641162E+00
   5.614423E-02    -4.456204E+00
   5.687338E-02    -1.689083E+00
   5.760252E-02     2.056783E+00
   5.833167E-02     4.610839E+00
   5.906082E-02     4.493128E+00
   5.978996E-02     1.771858E+00
   6.051911E-02    -1.976121E+00
   6.124825E-02    -4.579030E+00
   6.197740E-02    -4.528604E+00
   6.270655E-02    -1.854062E+00
   6.343569E-02     1.894822E+00
   6.416484E-02     4.545745E+00
   6.489398E-02     4.562620E+00
   6.562313E-02     1.935669E+00
   6.635228E-02    -1.812912E+00
   6.708142E-02    -4.510995E+00
   6.781057E-02    -4.595166E+00
   6.853971E-02    -2.016652E+00
   6.926886E-02     1.730419E+00
   6.999800E-02     4.474792E+00
   7.072715E-02     4.626231E+00
   7.145630E-02     2.096985E+00
   7.218544E-02    -1.647367E+00
   7.291459E-02    -4.437146E+00
   7.364373E-02    -4.655805E+00
   7.437288E-02    -2.176642E+00
   7.510203E-02     1.563784E+00
   7.583117E-02     4.398070E+00
   7.656032E-02     4.683879E+00
   7.728946E-02     2.255597E+00
   7.801861E-02    -1.479698E+00
   7.874776E-02    -4.357577E+00
   7.947690E-02    -4.710443E+00
   8.020605E-02    -2.333826E+00
   8.093519E-02     1.395135E+00
   8.166434E-02     4.315680E+00
   8.239348E-02     4.735489E+00
   8.312263E-02     2.411302E+00
   8.385178E-02    -1.310122E+00
   8.458092E-02    -4.272391E+00
   8.531007E-02    -4.759008E+00
   8.603921E-02    -2.488002E+00
   8.676836E-02     1.224686E+00
   8.749751E-02     4.227726E+00
   8.822665E-02     4.780994E+00
   8.895580E-02     2.563899E+00
   8.968494E-02    -1.138856E+00
   9.041409E-02    -4.181698E+00
   9.114324E-02    -4.801440E+00
   9.187238E-02    -2.638970E+00
   9.260153E-02     1.052659E+00
   9.333067E-02     4.134322E+00
   9.405982E-02     4.820337E+00
   9.478896E-02     2.713191E+00
   9.551811E-02    -9.661232E-01
   9.624726E-02    -4.085614E+00
   9.697640E-02    -4.837681E+00
   9.770555E-02    -2.786537E+00
   9.843469E-02     8.792756E-01
   9.916384E-02     4.035589E+00
   9.989299E-02     4.853466E+00
   1.006221E-01     2.858985E+00
   1.013513E-01    -7.921446E-01
   1.020804E-01    -3.984264E+00
   1.028096E-01    -4.867687E+00
   1.035387E-01    -2.930512E+00
   1.042679E-01     7.047583E-01
   1.049970E-01     3.931654E+00
   1.057262E-01     4.880339E+00
   1.064553E-01     3.001095E+00
   1.071844E-01    -6.171449E-01
   1.079136E-01    -3.877778E+00
   1.086427E-01    -4.891418E+00
   1.093719E-01    -3.070710E+00
   1.101010E-01     5.293326E-01
   1.108302E-01     3.822651E+00
   1.115593E-01     4.900921E+00
   1.122885E-01     3.139335E+00
   1.130176E-01    -4.413497E-01
   1.137468E-01    -3.766293E+00
   1.144759E-01    -4.908844E+00
   1.152050E-01    -3.206949E+00
   1.159342E-01     3.532246E-01
   1.166633E-01     3.708721E+00
   1.173925E-01     4.915186E+00
   1.181216E-01     3.273529E+00
   1.188508E-01    -2.649856E-01
   1.195799E-01    -3.649953E+00
   1.203091E-01    -4.919943E+00
   1.210382E-01    -3.339054E+00
   1.217674E-01     1.766612E-01
   1.224965E-01     3.590010E+00
   1.232257E-01     4.923114E+00
   1.239548E-01     3.403503E+00
   1.246839E-01    -8.827988E-02
   1.254131E-01    -3.528909E+00
   1.261422E-01    -4.924699E+00
   1.268714E-01    -3.466855E+00
   1.276005E-01    -1.298933E-04
   1.283297E-01     3.466671E+00
   1.290588E-01     4.924697E+00
   1.297880E-01     3.529090E+00
   1.305171E-01     8.853962E-02
   1.312463E-01    -3.403315E+00
   1.319754E-01    -4.923107E+00
   1.327046E-01    -3.590187E+00
   1.334337E-01    -1.769208E-01
   1.341628E-01     3.338863E+00
   1.348920E-01     4.919931E+00
   1.356211E-01     3.650128E+00
   1.363503E-01     2.652450E-01
   1.370794E-01    -3.273335E+00
   1.378086E-01    -4.915169E+00
   1.385377E-01    -3.708892E+00
   1.392669E-01    -3.534837E-01
   1.399960E-01     3.206752E+00
   1.407252E-01     4.908824E+00
   1.414543E-01     3.766460E+00
   1.421834E-01     4.416085E-01
   1.429126E-01    -3.139135E+00
   1.436417E-01    -4.900896E+00
   1.443709E-01    -3.822815E+00
   1.451000E-01    -5.295909E-01
